sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
"3300/020 : Computer - Platforms",,,,,,,
"3300/020 : Computer - Platforms","Opening Balance as at: 01/03/2022",,,,,"0",,
,"28/03/2022","STOCK2SHOP (PTY) LTD","WWI30629","Supplier Invoice","Stock2Shop","216.67",,"216.67"
,"28/03/2022","STOCK2SHOP (PTY) LTD","WWI30630","Supplier Invoice","Stock2Shop","1875",,"2091.67"
,"31/03/2022","REZONANCE (PTY) LTD","WWI30614","Supplier Invoice","3300/020:  Computer - Platforms - Shopify","34013.54",,"36105.21"
,"31/03/2022","REZONANCE (PTY) LTD","WWI30622","Supplier Invoice","3300/020:  Computer - Platforms - Shopify","34013.54",,"70118.75"
,"01/04/2022","STOCK2SHOP (PTY) LTD","WWI30624","Supplier Invoice","3300/020:  Computer - Platforms Stock2shop","216.67",,"70335.42"
,"25/04/2022","REZONANCE (PTY) LTD","WWI30643","Supplier Invoice","Shopify","32406.27",,"102741.69"
,"28/04/2022","STOCK2SHOP (PTY) LTD","WWI30635","Supplier Invoice","3300/020:  Computer - Platforms","855",,"103596.69"
,"28/05/2022","STOCK2SHOP (PTY) LTD","WWI30648","Supplier Invoice","3300/020:  Computer - Platforms","855",,"104451.69"
,"28/06/2022","STOCK2SHOP (PTY) LTD","WWI30655","Supplier Invoice","3300/020:  Computer - Platforms Stock2shop","855",,"105306.69"
,"28/06/2022","STOCK2SHOP (PTY) LTD","WRD30066","Supplier Return","3300/020:  Computer - Platforms - Duplication",,"216.67","105090.02"
,"30/06/2022","STOCK2SHOP (PTY) LTD","WWI30656","Supplier Invoice","3300/020:  Computer - Platforms - connectors","273.75",,"105363.77"
,"28/07/2022","STOCK2SHOP (PTY) LTD","WWI30664","Supplier Invoice","3300/020:  Computer - Platforms","1195",,"106558.77"
,"30/08/2022","STOCK2SHOP (PTY) LTD","WWI30688","Supplier Invoice","3300/020:  Stock2shop","1195",,"107753.77"
,"26/09/2022","REZONANCE (PTY) LTD","WWI30736","Supplier Invoice","3300/020 : Computer - Platforms - Shopify","42341.84",,"150095.61"
,"28/09/2022","REZONANCE (PTY) LTD","WWI30722","Supplier Invoice","3300/020 : Computer - Platforms - SHOPIFY","37700.54",,"187796.15"
,"28/09/2022","REZONANCE (PTY) LTD","WWI30723","Supplier Invoice","3300/020 : Computer - Platforms - SHOPIFY","37925.24",,"225721.39"
,"28/09/2022","REZONANCE (PTY) LTD","WWI30724","Supplier Invoice","3300/020 : Computer - Platforms - SHOPIFY","39838.94",,"265560.33"
,"28/09/2022","REZONANCE (PTY) LTD","WWI30725","Supplier Invoice","3300/020 : Computer - Platforms - SHOPIFY","40568.17",,"306128.5"
,"28/09/2022","REZONANCE (PTY) LTD","WWI30726","Supplier Invoice","3300/020 : Computer - Platforms - SHOPIFY","42341.84",,"348470.34"
,"28/09/2022","STOCK2SHOP (PTY) LTD","WWI30731","Supplier Invoice","3300/020 : Computer - Platforms - STOCK2SHOP","1195",,"349665.34"
,"30/09/2022","REZONANCE (PTY) LTD","WRD30069","Supplier Return","3300/020 : Computer - Platforms - Shopify",,"42341.84","307323.5"
,"28/10/2022","STOCK2SHOP (PTY) LTD","WWI30753","Supplier Invoice","3300/020 : Computer - Platforms","1195",,"308518.5"
,"28/11/2022","STOCK2SHOP (PTY) LTD","WWI30783","Supplier Invoice","3300/020 : Computer - Platforms - Stock2shop","1195",,"309713.5"
,"30/11/2022","REZONANCE (PTY) LTD","WWI30791","Supplier Invoice","3300/020 : Computer - Platforms - Shopify","43406.33",,"353119.83"
,"30/11/2022","REZONANCE (PTY) LTD","WWI30792","Supplier Invoice","3300/020 : Computer - Platforms - Shopify","43952.06",,"397071.89"
,"30/11/2022","REZONANCE (PTY) LTD","WWI30793","Supplier Invoice","3300/020 : Computer - Platforms - Shopify","46384.7",,"443456.59"
,"28/12/2022","STOCK2SHOP (PTY) LTD","WWI30810","Supplier Invoice","- Stock2shop","1195",,"444651.59"
,"26/01/2023","STOCK2SHOP (PTY) LTD","WWI30824","Supplier Invoice","3300/020 : Computer - Platforms","175.2",,"444826.79"
,"28/01/2023","STOCK2SHOP (PTY) LTD","WWI30825","Supplier Invoice","3300/020 : Computer - Platforms","1875",,"446701.79"
,"30/01/2023","REZONANCE (PTY) LTD","WWI30849","Supplier Invoice","3300/020 : Computer - Platforms - Shopify","48427.89",,"495129.68"
,"06/02/2023","REZONANCE (PTY) LTD","WWI30895","Supplier Invoice","3300/020 : Computer - Platforms - Shopify","48725.19",,"543854.87"
,"16/02/2023","REZONANCE (PTY) LTD","WWI30850","Supplier Invoice","3300/020 : Computer - Platforms - Shopify","48725.19",,"592580.06"
,"16/02/2023","REZONANCE (PTY) LTD","WWI30851","Supplier Invoice","3300/020 : Computer - Platforms - Shopify","48725.19",,"641305.25"
,"16/02/2023","REZONANCE (PTY) LTD","WRD30068","Supplier Return","3300/020 : Computer - Platforms - Shopify",,"48725.19","592580.06"
,"28/02/2023","STOCK2SHOP (PTY) LTD","WWI30874","Supplier Invoice","3300/020 : Computer - Platforms","2219",,"594799.06"
"3300/020 : Computer - Platforms","Closing Balance as at: 28/02/2023",,,,,"594799.06",,
,"Movement for the period",,,,,"594799.06",,
