sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
"3300/020 : Computer - Platforms",,,,,,,
"3300/020 : Computer - Platforms","Opening Balance as at: 01/03/2025",,,,,"0",,
,"01/03/2025","8400/000 : FNB","Shopify 3421.17 SHOPIFY* 33 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX6960 Shopify","Account Payment","Shopify 3421.17 SHOPIFY* 33 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX6960 Shopify","64465",,"64465"
,"01/03/2025","8400/000 : FNB","Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2756 Intuit","Account Payment","Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2756 Intuit","570.4",,"65035.4"
,"01/03/2025","8400/000 : FNB","Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2814 Intuit","Account Payment","Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2814 Intuit","570.4",,"65605.8"
,"01/03/2025","8400/000 : FNB","Intuit 546.25 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2509 Intuit","Account Payment","Intuit 546.25 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2509 Intuit","546.25",,"66152.05"
,"01/03/2025","8400/000 : FNB","399.99 POE.COM 4XX*5191 27 FEB XX1001 399.99 POE.COM 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX1001","Account Payment","399.99 POE.COM 4XX*5191 27 FEB XX1001 399.99 POE.COM 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX1001","399.99",,"66552.04"
,"03/03/2025","8400/000 : FNB","67.85 LEMSQZY* CHAT 4XX*5191 01 MAR XX9146 67.85 LEMSQZY* CHAT 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXX","Account Payment","67.85 LEMSQZY* CHAT 4XX*5191 01 MAR XX9146 67.85 LEMSQZY* CHAT 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXX","1297.65",,"67849.69"
,"03/03/2025","8400/000 : FNB","50.12 FRAPPE CLOUD 4XX*5191 28 FEB XX0584 50.12 FRAPPE CLOUD 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX0","Account Payment","50.12 FRAPPE CLOUD 4XX*5191 28 FEB XX0584 50.12 FRAPPE CLOUD 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX","945.83",,"68795.52"
,"03/03/2025","8400/000 : FNB","Digitalocean 47.84 DIGITALOCEAN. 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX0133 Digitalocean","Account Payment","Digitalocean 47.84 DIGITALOCEAN. 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX0133 Digitalocean","914.95",,"69710.47"
,"03/03/2025","8400/000 : FNB","29.99 BEENVERIFIED 4XX*5191 28 FEB XX6964 29.99 BEENVERIFIED 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX6","Account Payment","29.99 BEENVERIFIED 4XX*5191 28 FEB XX6964 29.99 BEENVERIFIED 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX","565.95",,"70276.42"
,"03/03/2025","8400/000 : FNB","430.00 Dlocal *Micr 4XX*5191 28 FEB XX0372 430.00 Dlocal *Micr 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXX","Account Payment","430.00 Dlocal *Micr 4XX*5191 28 FEB XX0372 430.00 Dlocal *Micr 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXX","430",,"70706.42"
,"03/03/2025","8400/000 : FNB","21.37 LINODE . AKAM 4XX*5191 01 MAR XX7671 21.37 LINODE . AKAM 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXX","Account Payment","21.37 LINODE . AKAM 4XX*5191 01 MAR XX7671 21.37 LINODE . AKAM 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXX","408.7",,"71115.12"
,"03/03/2025","8400/000 : FNB","9.00 GITPOD.IO 4XX*5191 28 FEB XX4731 9.00 GITPOD.IO 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX4731","Account Payment","9.00 GITPOD.IO 4XX*5191 28 FEB XX4731 9.00 GITPOD.IO 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX4731","169.84",,"71284.96"
,"03/03/2025","8400/000 : FNB","5.00 COMPONENTS.STU 4XX*5191 28 FEB XX9447 5.00 COMPONENTS.STU 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXX","Account Payment","5.00 COMPONENTS.STU 4XX*5191 28 FEB XX9447 5.00 COMPONENTS.STU 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXX","94.36",,"71379.32"
,"03/03/2025","8400/000 : FNB","5050.80 FRESHWORKS 4XX*5225 28 FEB XX6851 5050.80 FRESHWORKS 4XXXXX*5225 28 FEB XXXXXXXXXXXXXXXXXXX6","Account Payment","5050.80 FRESHWORKS 4XX*5225 28 FEB XX6851 5050.80 FRESHWORKS 4XXXXX*5225 28 FEB XXXXXXXXXXXXXXXXXXX","5050.8",,"76430.12"
,"04/03/2025","8400/000 : FNB","1.00 VERCEL INC. 4XX*5225 01 MAR XX7108 1.00 VERCEL INC. 4XXXXX*5225 01 MAR XXXXXXXXXXXXXXXXXXX7108","Account Payment","1.00 VERCEL INC. 4XX*5225 01 MAR XX7108 1.00 VERCEL INC. 4XXXXX*5225 01 MAR XXXXXXXXXXXXXXXXXXX7108","19.13",,"76449.25"
,"04/03/2025","8400/000 : FNB","1150.00 AUTH0.COM 4XX*5191 01 MAR XX9706 1150.00 AUTH0.COM 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX970","Account Payment","1150.00 AUTH0.COM 4XX*5191 01 MAR XX9706 1150.00 AUTH0.COM 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX97","21994.1",,"98443.35"
