paragraph_number,response_content,response_type,annexures,createdAt,updatedAt
1.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360018,2025-11-02T14:20:58.360023
1.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360025,2025-11-02T14:20:58.360027
1.3,The contents of this paragraph are noted. The Applicant's assertion of truthfulness will be addressed in response to the specific allegations made in this affidavit.,general,,2025-11-02T14:20:58.360028,2025-11-02T14:20:58.360030
2.1,Admitted.,general,,2025-11-02T14:20:58.360031,2025-11-02T14:20:58.360033
2.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360035,2025-11-02T14:20:58.360036
2.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360038,2025-11-02T14:20:58.360039
2.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360041,2025-11-02T14:20:58.360042
3.1,Admitted.,general,,2025-11-02T14:20:58.360044,2025-11-02T14:20:58.360045
3.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360047,2025-11-02T14:20:58.360048
3.3,"I admit the contents of this paragraph. I am the Second Respondent, and my identity number and residential address are correctly stated.",general,,2025-11-02T14:20:58.360050,2025-11-02T14:20:58.360051
3.4,Noted as a heading.,general,,2025-11-02T14:20:58.360053,2025-11-02T14:20:58.360054
3.4.1,The contents of this paragraph are noted. I am a member of the Third Respondent.,general,,2025-11-02T14:20:58.360058,2025-11-02T14:20:58.360059
3.4.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360061,2025-11-02T14:20:58.360062
3.5,Noted as a heading.,general,,2025-11-02T14:20:58.360064,2025-11-02T14:20:58.360065
3.5.1,The contents of this paragraph are noted. I am a director of the Fourth Respondent.,general,,2025-11-02T14:20:58.360182,2025-11-02T14:20:58.360184
3.5.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360186,2025-11-02T14:20:58.360187
3.6,Noted as a heading.,general,,2025-11-02T14:20:58.360189,2025-11-02T14:20:58.360190
3.6.1,The contents of this paragraph are noted. I am a member of the Fifth Respondent.,general,,2025-11-02T14:20:58.360192,2025-11-02T14:20:58.360193
3.6.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360195,2025-11-02T14:20:58.360196
