From:	"Daniel Faucitt" <dan@regima.com>
Sent:	01/11/2025 14:37:21
To:	"Jacqui Faucitt" <jax@regima.zone>
Subject:	AD NOTES - Table Complete

## AD Paragraph Commentary - Completed Analysis
**Case No:** 2025-137857  
**Court:** High Court of South Africa, Gauteng Division, Pretoria  
**Purpose:** Evidence-based commentary revealing connections through hard facts
---
## Section 1: Applicant's Personal Details and Parties (AD 1-3.13)
| AD Paragraph | Commentary |
|:-------------|:-----------|
| **AD 1** - Director Liability for Breach of Fiduciary Duty | Peter invokes director liability provisions. The affidavit will reveal that the accounting system used to track these alleged breaches was controlled by Rynette Farrar using Peter's email address (pete@regima.com), as evidenced by Sage screenshots from June and August 2025. Peter himself had no access to this system. |
| **AD 1.3** - Applicant's Personal Details and Declaration | Peter provides his ID (520430 5708 18 5) and address. The affidavit is commissioned by Danie Bantjies, identified as "our accountant." Bantjies's full role will progressively emerge through the document. |
| **AD 2** - Company Business Conduct Requirements | Peter alleges reckless or grossly negligent business conduct. The actual financial performance shows Dan and Kayla built 51+ Shopify stores generating R34.9 million annually. RegimA SA: 25 stores, R8.5M turnover. RegimA Zone: 26 stores, R26.4M turnover. The businesses were highly profitable under Dan's management. |
| **AD 2.4** - Parties to the Application - Introduction | Peter introduces the parties. The corporate structure will reveal that certain entities are owned by the Faucitt Family Trust (IT 3651/2013), which has three trustees. Two are identified in this affidavit: Peter and Jax. The third trustee's identity was not disclosed to the beneficiaries. |
| **AD 3** - Court Order for Probation of Directors/Members | Peter seeks probation orders. The Companies Act Section 162 requires consideration of conflicts of interest. The evidence will show that the accountant who "discovered" the alleged irregularities has multiple undisclosed roles. |
| **AD 3.2** - Respondents - Wife | Jax is identified as Peter's wife and First Respondent. On 15 May 2025, Jax confronted Rynette Farrar about a R1,035,000 debt owed by RegimA Skin Treatments to Rezonance since February 2023. These funds were part of Kayla Pretorius's estate. Jax stated that keeping them would be "profiting from the proceeds of murder." This confrontation will prove significant. |
| **AD 3.4** - Respondents - Son | Dan is identified as Peter's son and Second Respondent. On 6 June 2025, Dan cooperated with Peter's request by providing comprehensive reports to the accountant regarding Villa Via Arcadia, which is owned by the Faucitt Family Trust. Dan unknowingly reported fraud to one of the perpetrators. |
| **AD 3.4.2** - Third Respondent - RegimA Skin Treatments | RegimA Skin Treatments CC (B1992/005371/23) owes R1,035,000 to Rezonance (Kayla's estate) since February 2023. When Jax raised this debt on 15 May 2025, Rynette claimed it was paid—a false statement. RegimA Skin Treatments receives stock from Adderory (Pty) Ltd, a company owned by Rynette's son. |
| **AD 3.6** - Fourth Respondent - Regim A UK | RegimA Zone Ltd (UK company 10697009) owns and funds the Shopify platforms. UK bank transactions show continuous Shopify payments. This contradicts claims that will appear later in the affidavit about UK entities owing money to SA operations. |
| **AD 3.6.1** - Fifth Respondent - Villa Via Arcadia No 2 CC | Villa Via Arcadia No 2 CC (1996/004451/23) is owned by the Faucitt Family Trust. Financial analysis shows an 86% profit margin on rent charged to the group—an excessive profit extraction. This was the fraud Dan reported to the accountant on 6 June 2025. |
| **AD 3.6.2** - Windeed Printout Evidence for Villa Via Arcadia | Property registration confirms trust ownership. The trust has three trustees, but only two were known to the beneficiaries at the time of this application. |
| **AD 3.7** - Sixth Respondent - Strategic Logistics CC | Strategic Logistics CC (2008/136496/23) experienced a R5.4 million stock adjustment in 2024—stock that "just disappeared." This represents 46% of annual sales (R5.4M on R11.3M sales) and is 10 times the prior year's adjustment. The stock type matches inventory supplied by Adderory to RegimA Skin Treatments. |
| **AD 3.7.2** - Windeed Printout Evidence for Strategic Logistics | Property registration documents. In a SARS audit email concerning the R5.4M stock adjustment, Rynette claimed that Danie Bantjies instructed her to make the huge payments related to this transaction. |
| **AD 3.8** - Seventh Respondent - FirstRand Bank (FNB) | FNB holds accounts for the companies. On 14 and 15 February 2025, unauthorized transfers of R450,000 each (R900,000 total) were made from RegimA SA's FNB account without Dan's authority as co-director. The account opened with R997,597.94 and closed at R5,284.08 within one month, despite 169 customer deposits totaling R566,598.57 proving active trade. |
| **AD 3.9** - Eighth and Ninth Respondents | ABSA Bank and CIPC are cited. Rynette may have opened 8 ABSA accounts using Dan's information without authorization. Revenue diversion for RegimA Worldwide began with an ABSA bank letter dated 14 April 2025. |
