paragraph_number,response_content,response_type,annexures,createdAt,updatedAt
1.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359364,2025-11-02T14:20:58.359394
1.2,The contents of this paragraph are noted. The Applicant resides at the same address as I do.,general,,2025-11-02T14:20:58.359397,2025-11-02T14:20:58.359399
1.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359401,2025-11-02T14:20:58.359402
2.1,Admitted.,general,,2025-11-02T14:20:58.359404,2025-11-02T14:20:58.359405
2.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359407,2025-11-02T14:20:58.359408
2.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359410,2025-11-02T14:20:58.359411
2.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359413,2025-11-02T14:20:58.359414
3.1,Admitted.,general,,2025-11-02T14:20:58.359419,2025-11-02T14:20:58.359421
3.2,"I admit the contents of this paragraph. I am the First Respondent, and my identity number and residential address are correctly stated.",general,,2025-11-02T14:20:58.359423,2025-11-02T14:20:58.359424
3.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359426,2025-11-02T14:20:58.359428
3.4,Noted as a heading.,general,,2025-11-02T14:20:58.359429,2025-11-02T14:20:58.359431
3.4.1,The contents of this paragraph are noted. I am a member of the Third Respondent.,general,,2025-11-02T14:20:58.359432,2025-11-02T14:20:58.359434
3.4.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359435,2025-11-02T14:20:58.359437
3.5,Noted as a heading.,general,,2025-11-02T14:20:58.359440,2025-11-02T14:20:58.359442
3.5.1,The contents of this paragraph are noted. I am a director of the Fourth Respondent.,general,,2025-11-02T14:20:58.359443,2025-11-02T14:20:58.359445
3.5.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359446,2025-11-02T14:20:58.359447
3.6,Noted as a heading.,general,,2025-11-02T14:20:58.359449,2025-11-02T14:20:58.359450
