sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
"3300/020 : Computer - Platforms",,,,,,,
"3300/020 : Computer - Platforms","Opening Balance as at: 01/03/2024",,,,,"0",,
,"01/03/2024","8400/000 : FNB","74838424059105627089966","Account Payment","546.25 INTUIT QBoo 4910505225 28 FEB 74838424059105627089966","546.25",,"546.25"
,"01/03/2024","8400/000 : FNB","74838424059105627089958","Account Payment","546.25 INTUIT QBoo 4910505225 28 FEB 74838424059105627089958","546.25",,"1092.5"
,"01/03/2024","8400/000 : FNB","24011344060000013555616","Account Payment","141.99 CANVA I0407 4910505225 29 FEB 24011344060000013555616","141.99",,"1234.49"
,"01/03/2024","8400/000 : FNB","24492154060715485858617","Account Payment","182.85 WIX.COM 4910505191 29 FEB 24492154060715485858617","3605.29",,"4839.78"
,"01/03/2024","8400/000 : FNB","74007484060245460213921","Account Payment","6338.80 CBAMindjet 4910505191 28 FEB 74007484060245460213921","6338.8",,"11178.58"
,"02/03/2024","8400/000 : FNB","74389244060000000034543","Account Payment","39.56 FRAPPE CLOUD 4910505191 29 FEB 74389244060000000034543","780.01",,"11958.59"
,"02/03/2024","8400/000 : FNB","74143614061000065948652","Account Payment","606.30 FACEBK 7L8R 4910505191 29 FEB 74143614061000065948652","606.3",,"12564.89"
,"02/03/2024","8400/000 : FNB","74143614061000065086818","Account Payment","230.00 FACEBK 6YHQ 4910505191 29 FEB 74143614061000065086818","230",,"12794.89"
,"04/03/2024","8400/000 : FNB","74697694062920050377883","Account Payment","48.24 GOOGLEGSUITE 4910505225 01 MAR 74697694062920050377883","1031.76",,"13826.65"
,"04/03/2024","8400/000 : FNB","74796314061000800649059","Account Payment","18.40 FACEBK FACEB 4910505191 01 MAR 74796314061000800649059","362.9",,"14189.55"
,"04/03/2024","8400/000 : FNB","24011344061000080872109","Account Payment","29.00 ECM A LEGALZ 4910505191 01 MAR 24011344061000080872109","571.95",,"14761.5"
,"04/03/2024","8400/000 : FNB","24492164061000052396848","Account Payment","6.00 GLASSFROG 4910505191 01 MAR 24492164061000052396848","118.34",,"14879.84"
,"04/03/2024","8400/000 : FNB","74697694062920040509553","Account Payment","39.82 GOOGLEGSUITE 4910505191 01 MAR 74697694062920040509553","851.67",,"15731.51"
,"04/03/2024","8400/000 : FNB","74838424061107522512007","Account Payment","546.25 INTUIT QBoo 4910505225 01 MAR 74838424061107522512007","546.25",,"16277.76"
,"04/03/2024","8400/000 : FNB","24011344062000021572346","Account Payment","134.00 SINCH MAILGU 4910505191 02 MAR 24011344062000021572346","2631.58",,"18909.34"
,"04/03/2024","8400/000 : FNB","24011344061000044082902","Account Payment","1013.36 CANVA I040 4910505225 01 MAR 24011344061000044082902","1013.36",,"19922.7"
,"04/03/2024","8400/000 : FNB","74697694062920050389193","Account Payment","376.03 GOOGLEGSUIT 4910505225 01 MAR 74697694062920050389193","8042.56",,"27965.26"
,"04/03/2024","8400/000 : FNB","74697694062920040656727","Account Payment","29.81 GOOGLEGSUITE 4910505191 01 MAR 74697694062920040656727","587.94",,"28553.2"
,"04/03/2024","8400/000 : FNB","74796314061000900663042","Account Payment","18.40 FACEBK FACEB 4910505191 01 MAR 74796314061000900663042","362.9",,"28916.1"
,"04/03/2024","8400/000 : FNB","74609054061000011136978","Account Payment","4.76 SLACK T06A3T45 4910505191 01 MAR 74609054061000011136978","93.88",,"29009.98"
,"04/03/2024","8400/000 : FNB","74796314061000100531064","Account Payment","9.20 FACEBK FACEBK 4910505191 01 MAR 74796314061000100531064","181.45",,"29191.43"
,"05/03/2024","8400/000 : FNB","24492164064000018168114","Account Payment","1499.00 APPDIRECT 4910505225 04 MAR 24492164064000018168114","29438.33",,"58629.76"
,"05/03/2024","8400/000 : FNB","74201334062000006852834","Account Payment","450.00 WAPPALYZER 4910505191 02 MAR 74201334062000006852834","8837.39",,"67467.15"
,"05/03/2024","8400/000 : FNB","24011344064000021451309","Account Payment","279.96 STABLE 4910505191 04 MAR 24011344064000021451309","5498.03",,"72965.18"
,"05/03/2024","8400/000 : FNB","24011344063000051930645","Account Payment","143.20 MOZSEOHELP@ 4910505191 03 MAR 24011344063000051930645","2812.25",,"75777.43"
,"05/03/2024","8400/000 : FNB","74609054064000003356698","Account Payment","99.00 DMNS.APP BUSI 4910505191 04 MAR 74609054064000003356698","1944.22",,"77721.65"
,"05/03/2024","8400/000 : FNB","24011344063000021249241","Account Payment","95.00 10WEB.IO 4910505191 03 MAR 24011344063000021249241","1865.67",,"79587.32"
,"05/03/2024","8400/000 : FNB","74083424064000001286624","Account Payment","60.00 INSOMNIA TEAM 4910505191 03 MAR 74083424064000001286624","1178.31",,"80765.63"
,"05/03/2024","8400/000 : FNB","24492164064000015524384","Account Payment","4.95 SHELLS.COM 4910505191 04 MAR 24492164064000015524384","97.22",,"80862.85"
,"05/03/2024","8400/000 : FNB","24000774064000000318660","Account Payment","3.97 CLOUDFLARE 4910505191 04 MAR 24000774064000000318660","77.97",,"80940.82"
,"05/03/2024","8400/000 : FNB","24492164062000046984922","Account Payment","1.00 VIRTONOMICS SI 4910505191 02 MAR 24492164062000046984922","19.64",,"80960.46"
,"06/03/2024","8400/000 : FNB","74143614065000103931617","Account Payment","2058.98 SHOPIFY 21 4910505191 04 MAR 74143614065000103931617","40435.58",,"121396.04"
,"06/03/2024","8400/000 : FNB","24011344064000053161727","Account Payment","329.00 TRIPLE WHALE 4910505191 04 MAR 24011344064000053161727","6461.12",,"127857.16"
,"06/03/2024","8400/000 : FNB","24492164065000019699595","Account Payment","120.75 MANAGEWP 4910505225 05 MAR 24492164065000019699595","2356.63",,"130213.79"
,"06/03/2024","8400/000 : FNB","24492164065000019693515","Account Payment","120.75 MANAGEWP 4910505225 05 MAR 24492164065000019693515","2356.63",,"132570.42"
,"06/03/2024","8400/000 : FNB","74601004064409070916123","Account Payment","408.94 MSFT E0700 4910505225 04 MAR 74601004064409070916123","408.94",,"132979.36"
,"06/03/2024","8400/000 : FNB","24492164064000040025142","Account Payment","19.00 GITHUB INC. 4910505225 04 MAR 24492164064000040025142","373.14",,"133352.5"
,"06/03/2024","8400/000 : FNB","24492164064000040200984","Account Payment","6.35 GITHUB INC. 4910505225 04 MAR 24492164064000040200984","124.71",,"133477.21"
,"06/03/2024","8400/000 : FNB","74548584065002707023227","Account Payment","SAGE ACC 4910505225 04 MAR 74548584065002707023227","3160",,"136637.21"
,"07/03/2024","8400/000 : FNB","74143614066000066921505","Account Payment","345.00 FACEBK PQPU 4910505191 05 MAR 74143614066000066921505","345",,"136982.21"
,"07/03/2024","8400/000 : FNB","74007484066246184341240","Account Payment","77.05 CBAPlesk 4910505191 05 MAR 74007484066246184341240","1503.76",,"138485.97"
,"07/03/2024","8400/000 : FNB","24011344066000018908756","Account Payment","15.00 HIGHTAIL 4910505191 06 MAR 24011344066000018908756","292.32",,"138778.29"
