Transaction_Date,Description,Amount,2CO.COM,10Web,Adobe,Airtable,1xAllproduc,AICAMP,AI PDF MYAID,Acquire,Afforai,Anaconda,Appy Pie,AgencyAnalyt,Anima app,Anthropic,Autho.com,Appdirect,Atarim Agency,B2B Trade Store,Beenverified,Beeceptor,Bobgroup,Bubble Starter,CAL.COM,Canva,CBA Plesk,CBAC Cleaner,CassidyAI,Chatbase,Chatbox,ClaudeAI,Clinic Software,Cloud,Cloudflare,Chrisking Me,Codesandbox,COMPONENTS.STU,Cursor AI,CustomGPT,DMNS App,DNHGodaddy,DNH Domain,DeepAi,DevianArt,DIFY,Digital Ocean,Docker Inc.,Dropbox,Dynamic.xyz,ECM A Legal,Elementor,Endole.co.uk,EMMA AI,Facebook,FIGMA,FLUXAI,Framer.com,Frappe,Freshworks,Getaddress I.O,Github,GitPOD,Glassfrog,Google Cloud,Google Suite,Greenback,Hasura,Heroku,Hightail,Holaspirit,Huggingface,Insomnia Team,Intercom R & D,Intuit,ISHRAQ,Jina AI,Kling Ai,Lemsqzy,Leonardo AI,Linkedin,Linode.akam,Looka logo,Make.com,Mattermost,Mermaid,Microsoft,Mindjet,MioSalon,NPM INC,Notion Labs,Manage WP,Mangoapps,Mozseohelp,Namebio,Nettica Corpco,Nomic,Obsidian MD,WWW.ODRIVE,Open Ai,Open Phone,Org.Chart,Paddle.net,Perplexity,Pipedream,Playfab,Pipedrive UK,poe.com,Postman,Railway,REG Agent,Replit,Retool,SQSP,Sentry,SAGE,Shells.com,Shopify,Sinch Mailgun,Skrapp.io,Slack,Squarespace,SR.HT Service,Stackblitz,Stable,Stock2Shop,Suno Inc,Tabnine,TeamCity,Termius Corpco,Time is LTD,TINYACQUISIT,Triple Whale,Twenty.com,Unstoppabledo,You.com,Vercel,Vidboard,Virtonomics,Wappalyzer,Webflow,Windsurf,Wiza,Wix,Wolfram,WooCommerce,Wondershare,WWW.W3SCHOOL,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Vendor
2025-03-01,Shopify 3421.17 SHOPIFY* 33 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX6960 Shopify,64465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shopify
2025-03-01,Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2756 Intuit,570.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intuit
2025-03-01,Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2814 Intuit,570.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intuit
2025-03-01,Intuit 546.25 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2509 Intuit,546.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intuit
2025-03-01,399.99 POE.COM 4XX*5191 27 FEB XX1001 399.99 POE.COM 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX1001,399.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poe.com
2025-03-03,67.85 LEMSQZY* CHAT 4XX*5191 01 MAR XX9146 67.85 LEMSQZY* CHAT 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXX,1297.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lemsqzy
2025-03-03,50.12 FRAPPE CLOUD 4XX*5191 28 FEB XX0584 50.12 FRAPPE CLOUD 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX,945.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frappe
2025-03-03,Digitalocean 47.84 DIGITALOCEAN. 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX0133 Digitalocean,914.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Ocean
2025-03-03,29.99 BEENVERIFIED 4XX*5191 28 FEB XX6964 29.99 BEENVERIFIED 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX,565.95,,,,,,,,,,,,,,,,,,,565.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beenverified
2025-03-03,430.00 Dlocal *Micr 4XX*5191 28 FEB XX0372 430.00 Dlocal *Micr 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXX,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft
