Account Description,Account Date,Bank / Customer / Supplier,Reference,Transaction Type,Description,Debit,Credit,Balance,Source File,Transaction ID,Year-Month,Is Duplicate,Category,Refined Category,Final Category
,2025-03-01,8400/000 : FNB,Shopify 3421.17 SHOPIFY* 33 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX6960 Shopify,Account Payment,Shopify 3421.17 SHOPIFY* 33 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX6960 Shopify,64465.0,,64465.0,AccountTransactionsReport.csv,1,2025-03,False,E-commerce Platforms,E-commerce Platforms,E-commerce Platforms
,2025-03-01,8400/000 : FNB,Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2756 Intuit,Account Payment,Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2756 Intuit,570.4,,65035.4,AccountTransactionsReport.csv,2,2025-03,False,Productivity Software,Productivity Software,Productivity Software
,2025-03-01,8400/000 : FNB,Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2814 Intuit,Account Payment,Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2814 Intuit,570.4,,65605.8,AccountTransactionsReport.csv,3,2025-03,False,Productivity Software,Productivity Software,Productivity Software
,2025-03-01,8400/000 : FNB,Intuit 546.25 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2509 Intuit,Account Payment,Intuit 546.25 INTUIT *QBoo 4XXXXX*5225 27 FEB XXXXXXXXXXXXXXXXXXX2509 Intuit,546.25,,66152.05,AccountTransactionsReport.csv,4,2025-03,False,Productivity Software,Productivity Software,Productivity Software
,2025-03-01,8400/000 : FNB,399.99 POE.COM 4XX*5191 27 FEB XX1001 399.99 POE.COM 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX1001,Account Payment,399.99 POE.COM 4XX*5191 27 FEB XX1001 399.99 POE.COM 4XXXXX*5191 27 FEB XXXXXXXXXXXXXXXXXXX1001,399.99,,66552.04,AccountTransactionsReport.csv,5,2025-03,False,Other Computer Services,Other Computer Services,Other Computer Services
,2025-03-03,8400/000 : FNB,67.85 LEMSQZY* CHAT 4XX*5191 01 MAR XX9146 67.85 LEMSQZY* CHAT 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXX,Account Payment,67.85 LEMSQZY* CHAT 4XX*5191 01 MAR XX9146 67.85 LEMSQZY* CHAT 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXX,1297.65,,67849.69,AccountTransactionsReport.csv,6,2025-03,False,AI Services,AI Services,AI Services
,2025-03-03,8400/000 : FNB,50.12 FRAPPE CLOUD 4XX*5191 28 FEB XX0584 50.12 FRAPPE CLOUD 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX0,Account Payment,50.12 FRAPPE CLOUD 4XX*5191 28 FEB XX0584 50.12 FRAPPE CLOUD 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX,945.83,,68795.52,AccountTransactionsReport.csv,7,2025-03,False,Other Computer Services,Other Computer Services,Other Computer Services
,2025-03-03,8400/000 : FNB,Digitalocean 47.84 DIGITALOCEAN. 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX0133 Digitalocean,Account Payment,Digitalocean 47.84 DIGITALOCEAN. 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX0133 Digitalocean,914.95,,69710.47,AccountTransactionsReport.csv,8,2025-03,False,Cloud Services,Cloud Services,Cloud Services
,2025-03-03,8400/000 : FNB,29.99 BEENVERIFIED 4XX*5191 28 FEB XX6964 29.99 BEENVERIFIED 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX6,Account Payment,29.99 BEENVERIFIED 4XX*5191 28 FEB XX6964 29.99 BEENVERIFIED 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXXX,565.95,,70276.42,AccountTransactionsReport.csv,9,2025-03,False,Other Computer Services,Other Computer Services,Other Computer Services
,2025-03-03,8400/000 : FNB,430.00 Dlocal *Micr 4XX*5191 28 FEB XX0372 430.00 Dlocal *Micr 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXXX,Account Payment,430.00 Dlocal *Micr 4XX*5191 28 FEB XX0372 430.00 Dlocal *Micr 4XXXXX*5191 28 FEB XXXXXXXXXXXXXXXXX,430.0,,70706.42,AccountTransactionsReport.csv,10,2025-03,False,Other Computer Services,Other Computer Services,Other Computer Services
